0,1,2
12.0,19.0,32.0
13.0,0.0,32.0
13.0,1.0,35.84839963244948
13.0,2.0,39.374303215908284
13.0,3.0,42.44761302717407
13.0,4.0,45.024746708631056
13.0,5.0,47.103755157227866
13.0,6.0,48.69801297242199
13.0,7.0,49.82460302627036
13.0,8.0,50.50035840760824
13.0,9.0,50.74110904356323
13.0,10.0,50.561848968406146
13.0,11.0,49.976761728382655
13.0,12.0,48.99869463233968
13.0,13.0,47.638090409517986
13.0,14.0,45.90180325318599
13.0,15.0,43.7928810978081
13.0,16.0,41.31362007249231
13.0,17.0,38.47636897393316
13.0,18.0,35.32914914080963
13.0,19.0,32.0
14.0,0.0,32.0
